ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Web Link,Notes
0,Write Background/literature chapter,1/1/18,2/28/18,43,0,0,,,1,,,
9,Develop app,1/22/18,3/30/18,50,0,0,,,2,,,
2,"Observation of training, interviews",2/12/18,2/12/18,1,0,0,,,3,,,
5,Create specifications for datasets,2/15/18,2/28/18,10,0,0,,,4,,,
7,Write Technology chapter,3/1/18,3/30/18,22,0,0,,,5,,,
10,Develop backend,3/15/18,7/31/18,99,0,0,,,6,,,
18,Develop frontend,3/15/18,7/31/18,99,0,0,,,7,,,
12,Write Methodology chapter,4/2/18,4/30/18,21,0,0,,,8,,,
14,Plan testing,6/1/18,7/31/18,43,0,0,,,9,,,
16,Write Development chapter,7/2/18,7/31/18,22,0,0,,,10,,,
21,Write development chapter,8/1/18,8/31/18,23,0,0,,,11,,,
23,Inhouse testing,8/1/18,8/31/18,23,0,0,,,12,,,
25,Write testing chapter,8/15/18,9/28/18,33,0,0,,,13,,,
27,External testing,9/3/18,9/28/18,20,0,0,,,14,,,
30,Follow up testing results,9/17/18,10/15/18,21,0,0,,,15,,,
32,More testing if needed,10/1/18,10/31/18,23,0,0,,,16,,,
34,Write Discussion chapter,10/15/18,11/15/18,24,0,0,,,17,,,
36,Write Conclusion chapter,11/1/18,11/30/18,22,0,0,,,18,,,
38,Write Introduction Chapter,11/1/18,11/30/18,22,0,0,,,19,,,
40,Deadline,12/3/18,12/3/18,0,0,0,,,20,,,
